,DOB,Image,Summary,Name
10,,,"Malavalli Huchche Gowda Amarnath (29 May 1952 – 24 November 2018),[1] known by his screen name Ambareesh, was an Indian actor, media personality and politician from the State of Karnataka. Alongside Rajkumar and Vishnuvardhan, he is counted in Kannada cinema's ""triumvirate"" as its most celebrated actors.[2][3]
",Abhishek Gowda
11,20-09-1975,https://upload.wikimedia.org/wikipedia/commons/a/a2/Abhimanyu_Singh_%28Indian_Actor%29_rgvzoomin.jpg,"Abhimanyu Singh (born in Bihar) is an Indian film actor who works mainly in Bollywood and Bhojpuri cinema. He completed his graduation from St. Stephen's College, New Delhi.
",Abhimanyu Singh
12,11-10-1988,,"Abijeet (born 11 October 1988) is an Indian film actor. He made his debut as the narrative main lead Srinu in the film Life Is Beautiful, directed by Sekhar Kammula in 2012.[1]
",Abijeet Duddala
13,18-11-1980,https://upload.wikimedia.org/wikipedia/commons/e/e8/About_Chatterjee_2019.jpg,"Abir Chatterjee (Born 18 November 1980)[1] is an Indian actor who mainly works in Bengali cinema. He is the son of  theater personalities Phalguni Chatterjee and Rumki Chatterjee.[2] He started his career with Bengali television and made his debut in Bengali cinema in 2009 as a lead with Cross Connection.
",Abir Chatterjee
14,,,"Achyuth Kumar is an Indian actor who predominantly works in Kannada cinema. Born and brought up in the town of Tiptur, in the district of Tumkur. He graduated in bachelor of commerce from the Kalpatharu First Grade College, which was then under the University of Bangalore. He is well known for his performances in the films, Sidlingu and Lucia[1] & he has won 3 Filmfare Awards and 2 
Karnataka State Film Awards, one each in  
Best Supporting Actor and Best Actor categories so far.
",Achyuth Kumar
15,,https://upload.wikimedia.org/wikipedia/commons/8/83/Atharvaa_at_Eetti_Success_Meet_.jpg,"Atharvaa Murali, known as Atharvaa, is an Indian film actor working in Tamil cinema. The son of actor Murali and grandson of legendary director S. Siddalingaiah, Atharvaa began his acting career with Baana Kaathadi (2010).[1] He then garnered critical acclaim for his performance as a youngster suffering from delusion in the romantic thriller Muppozhudhum Un Karpanaigal (2012), before signing on to feature in Bala's period film Paradesi (2013). His role as a rural villager held as a slave in a tea plantation became his breakthrough performance, earning Atharvaa a Filmfare Award for Best Actor in Tamil.
",Adharvaa
16,13-01-1988,,"Adhyayan Suman (born on 13 January 1988) is an Indian actor and singer who appears in Hindi language films.[1][2][3] He debuted in 2008 with Haal–e–dil. His second film was Raaz – The Mystery Continues was a semi-hit. Suman's was praised for his performance in the 2009 Mukesh Bhatt film Jashnn.
",Adhyayan Suman
17,,https://upload.wikimedia.org/wikipedia/commons/0/0e/Adil_Hussain_at_%27Life_of_Pi%27_press_meet.jpg,"Adil Hussain (pronounced [ʕaːdɪl ħuˈseːn]) is an Indian actor who has worked in Indian cinema, including art house cinema and mainstream Bollywood, as well as international cinema, in films such as The Reluctant Fundamentalist and Life of Pi (both 2012). He received National Film Awards (Special Jury) at the 2017 National Film Awards for Hotel Salvation and Maj Rati Keteki. He has starred in English, Hindi, Assamese, Bengali, Tamil, Marathi, Malayalam, Norwegian and French films.[2][3]
",Adil Hussain
18,,,"

Aditya Babu  is a Tollywood producer and actor. He is the son of the late J. D. Sompalli, a Tollywood producer.[1]
",Aditya Babu
19,04-01-1965,https://upload.wikimedia.org/wikipedia/commons/d/d5/Aditya_Pancholi.jpg,"Aditya Pancholi (born Nirmal Pancholi; 4 January 1965) is an Indian film actor, producer and playback singer who appears in Bollywood films. He started his career as a lead actor, though he was more successful in supporting roles and as an antagonist. He received a Filmfare nomination for the Best Performance in a Negative Role for Yes Boss (1997).
",Aditya Pancholi
20,07-12-1992,,"Aditya Kumar is an Indian actor who acted in film Gangs of Wasseypur II.[1]
",Aditya Kumar
21,16-11-1985,https://upload.wikimedia.org/wikipedia/commons/d/de/Aditya_Roy_Kapur_spotted_at_the_gym_in_Bandra.jpg,"Aditya Roy Kapur (born 16 November 1985) is an Indian film actor who works in Hindi films. He is the younger brother of actors Siddharth Roy Kapur and Kunaal Roy Kapur.
",Aditya Roy Kapur
22,,https://upload.wikimedia.org/wikipedia/en/1/11/Adoorbhasi.jpg,"K. Bhaskaran Nair;[1] (1 March 1927 – 29 March 1990), known by his stage name Adoor Bhasi, was an Indian film actor and film director from Kerala. Adoor Bhasi was almost always cast as the man who stands next to the hero. His hilarious actions and roles became the cynosure of comic scenes in the Malayalam films of the 1950s, 1960s, 1970s and 1980s. He is also famous for his eloquent speeches in fluent English. He directed three Malayalam films during the late 1970s.[2]
",Adoor Bhasi
23,25-06-1978,https://upload.wikimedia.org/wikipedia/commons/8/8b/Aftab_shivdasani.jpg,"Aftab Shivdasani (born 25 June 1978) is an Indian film actor, producer and model known for his works in Bollywood. Shivdasani was selected as the Farex baby at the age of 14 months and eventually appeared in many TV commercials. He started his acting career as a child artist in films, including, Mr. India (1987), Shahenshah (1988), ChaalBaaz (1989), Awwal Number (1990), C.I.D. (1990) and Insaniyat (1994).[1]
",Aftab Shivdasani
24,02-01-1958,https://upload.wikimedia.org/wikipedia/en/e/e1/Ahuti-Prasad-pic.jpg,"Ahuti Prasad  (2 January 1958 – 4 January 2015) was an Indian character actor in the Telugu film industry.[3][4] He was renowned for the wide variety of roles he played, including father-figure, comedian, and antagonist. Prasad appeared in over 150 films in his career spanning nearly three decades.[5]
",Ahuti Prasad
25,02-04-1969,https://upload.wikimedia.org/wikipedia/commons/6/67/Ajay_Devgn_at_the_launch_of_MTV_Super_Fight_League.jpg,"Vishal Devgan (born 2 April 1969), known professionally as Ajay Devgn, is an Indian film actor, director and producer. He is widely considered as one of the most intense and influential actors of Hindi cinema, who has appeared in over a hundred Hindi films. Devgn has won numerous accolades, including two National Film Awards and four Filmfare Awards. In 2016, he was honoured by the Government of India with the Padma Shri, the fourth-highest civilian honour of the country.[2][3][4][5][6][7][8][9]
",Ajay Devgan
26,24-01-1980,https://upload.wikimedia.org/wikipedia/commons/f/fd/Ajay_Rao.JPG,"Ajai Rao (also credited as Krishna Ajai Rao) is an Indian actor who works primarily in Kannada film industry. He rose to fame with 2003 blockbuster movie Excuse Me.
",Ajay Rao
27,29-05-1981,https://upload.wikimedia.org/wikipedia/commons/a/ab/Ajaz_Khan_at_Sachin_Joshi%27s_Diwali_Party.jpg,"Ajaz Khan[4] is an Indian film actor.[5] He has starred in movies such as Rakta Charitra and Allah Ke Banday and acted in several television daily soaps including Rahe Tera Aashirwaad and Kahaani Hamaaray Mahaabhaarat Ki.[6] Khan is known for his appearance in Bigg Boss 7.[7][8] He also appeared on the TV show Comedy Nights with Kapil.[9]
",Ajaz Khan
28,17-01-1964,https://upload.wikimedia.org/wikipedia/commons/7/73/Ajinkya_Dev.jpg,"Ajinkya Deo is an Indian actor in Marathi films and is the son of veteran Marathi actor Ramesh Deo and Seema Deo. He is elder brother of Hindi film director Abhinay Deo. Vasudev Balawant Phadke was the latest Marathi film in which he was the lead. The film was released in December 2007.
",Ajinkya Dev
29,27-01-1922,https://upload.wikimedia.org/wikipedia/commons/0/0b/Ajit_Khan.jpg,"Hamid Ali Khan (27 January 1922 – 22 October 1998),[1] better known by his stage name Ajit, was an Indian actor active in Hindi films. He acted in over two hundred movies over almost four decades.[2] Ajit is also credited for starring as a lead actor in popular Bollywood movies such as Nastik, Bada Bhai, Milan, Bara Dari, and later as a second lead in Mughal-e-Azam and Naya Daur.
",Ajit Khan
30,01-05-1971,https://upload.wikimedia.org/wikipedia/commons/3/3f/Ajith_Kumar_at_Irungattukottai_Race_Track.jpg,"Ajith Kumar (born 1 May 1971), often mononymously called Ajith, is an Indian film actor who works predominantly in Tamil cinema. To date, Ajith has starred in over 50 films. In addition to his acting, he is also a motor car racer and participated in the MRF Racing series (2010).
",Ajith Kumar
31,,https://upload.wikimedia.org/wikipedia/commons/5/5a/Ajmal_Ameer_at_Launch_of_Provoke_Lifestyle_Magazine.jpg,"Ajmal Ameer is an Indian film actor and physician, who works in the Malayalam, Tamil, and Telugu film industries. He has also acted in one English movie. He has won two Filmfare Awards South.
",Ajmal Ameer
32,11-01-1985,https://upload.wikimedia.org/wikipedia/commons/4/49/Aju_Varghese_inaugural_speech_SARGAM_SJCET.JPG,"Aju Varghese (born 11 January 1985) is an Indian film actor and producer who appears in Malayalam cinema. He made his debut in 2010 in Malarvadi Arts Club, directed by his college classmate Vineeth Sreenivasan, son of veteran actor Sreenivasan. He has starred in more than 100 films.[4]
",Aju Varghese
33,08-04-1994,https://upload.wikimedia.org/wikipedia/commons/0/02/Akkineni_Akhil.jpg,"Akhil Akkineni[1] (born 8 April 1994) is an  Indian actor who works in Telugu cinema. He is the son of actors Akkineni Nagarjuna and Amala, the grandson of actor Nageswara Rao, and half-brother of Akkineni Naga Chaitanya. His sister-in-law Samantha Akkineni is also an  actor. Akhil pursued acting at the Lee Strasberg Theatre and Film Institute before making his debut in films in 2014 through a cameo in Manam. His first film in a lead role came in Akhil (2015).[2]
",Akkineni Akhil
34,,https://upload.wikimedia.org/wikipedia/commons/8/83/Anand_Akshay.jpg,"John Gardner (born 30 January 1957), known professionally as Akshay Anand is an Indian actor who appears mainly in Hindi films & television. He was discovered by actor Dev Anand, who cast him to play the protagonist in one of his directorial ventures Hum Naujawan. Anand has acted in numerous films and TV series across multiple languages. Besides acting, he writes stories and screenplays.
",Akshay Anand
35,09-09-1967,https://upload.wikimedia.org/wikipedia/commons/2/2e/Akshay_Kumar.jpg,"Rajiv Hari Om Bhatia (born 9 September 1967),[3] known professionally as Akshay Kumar, is a Canadian actor, producer, martial artist and television personality who works in Bollywood films. In a career spanning over 29 years, Kumar has appeared in over 100 films and has won several awards, including the National Film Award for Best Actor for his performance in Rustom (2016), and two Filmfare Awards for Ajnabee (2001) and Garam Masala (2005).
",Akshay Kumar
36,28-03-1975,https://upload.wikimedia.org/wikipedia/commons/e/e6/Akshaye_Khanna_still2.jpg,"Akshaye Khanna (born 28 March 1975)[1] is an Indian actor who appears in Hindi films. He has received two Filmfare Awards and is the son of late actor Vinod Khanna. After studying in Kishore Namit Kapoor Acting Institute in Mumbai, Khanna made his acting debut in Bollywood in 1997 with the movie Himalay Putra. His next release Border (1997) emerged as a critical and commercial success, earning him the Filmfare Best Debut Award and a nomination for Filmfare Award for Best Supporting Actor.
",Akshaye Khanna
37,23-02-1979,,"Akul Balaji (born Akula Balaji on 23 February 1979) is an Indian film actor, television host and dancer who has worked in both Kannada and Telugu languages. He started his career by acting and hosting television shows and has participated in the Kannada Film Industry for almost a decade. He shot to fame for co-hosting the hit Kannada reality show Pyate Hudgir Halli Lifu[1]  on Asianet Suvarna Channel, with Kannada Star Sudeep. He recently hosted a Kannada dance reality show named Takadhimita on Colors Kannada Channel.
",Akul Balaji
38,10-10-1968,https://upload.wikimedia.org/wikipedia/commons/8/82/Ali_Telugu_actor.jpg,"Ali Basha (born 10 October 1968) is an Indian actor and TV presenter who works predominantly in Telugu cinema. He acted in more than 1000 films in Telugu, Tamil and Hindi.
",Ali Basha
39,,https://upload.wikimedia.org/wikipedia/commons/8/82/Allari_Naresh.jpg,"Allari Naresh is an Indian film actor who appears in Telugu-language films. He is the son of veteran Telugu director and producer E. V. V. Satyanarayana.
",Allari Naresh
40,08-04-1982,https://upload.wikimedia.org/wikipedia/commons/f/f0/Allu_Arjun_at_62nd_Filmfare_awards_south.jpg,"Allu Arjun (born 8 April 1982) is an Indian film actor who primarily works in Telugu cinema.[1] After playing as a child artist in Vijetha and as a dancer in Daddy, Arjun made his adult debut in Gangotri.[2][3]
",Allu Arjun
41,30-05-1987,https://upload.wikimedia.org/wikipedia/commons/6/62/Allu_sirish.jpg,"Allu Sirish is an Indian film actor who works predominantly in the Telugu film industry
along with a few Tamil and Malayalam films.
",Allu Sirish
42,10-07-1956,https://upload.wikimedia.org/wikipedia/commons/0/01/AlokNath.jpg,"Alok Nath (born 10 July 1956) is an Indian film character actor known for his work in Hindi cinema and television.[6] He made his film debut with the 1982 film Gandhi, which won the Academy Award for Best Picture that year.[7] He appeared in the soap opera Buniyaad which took the country by a storm in 1986. He was also in Rishtey, which aired from 1999–2001.[8] He appeared in Star Plus serials like Sapna Babul Ka...Bidaai, Yahaaan Main Ghar Ghar Kheli and Yeh Rishta Kya Kehlata Hai.[9]
",Alok Nath
43,,,"Amar Talwar (born 4 May 1922) is an artist and Bollywood actor. He appeared in the historical television series  Shanti, in which he played Raj 'G.J.' Singh.
",Amar Talwar
44,,,"Malavalli Huchche Gowda Amarnath (29 May 1952 – 24 November 2018),[1] known by his screen name Ambareesh, was an Indian actor, media personality and politician from the State of Karnataka. Alongside Rajkumar and Vishnuvardhan, he is counted in Kannada cinema's ""triumvirate"" as its most celebrated actors.[2][3]
",Ambareesh
45,11-10-1942,https://upload.wikimedia.org/wikipedia/commons/9/9e/Amitabh_Bachchan_December_2013.png,"Amitabh Bachchan (pronounced [əmɪˈtaːbʱ ˈbətʃːən]; born Inquilaab Srivastava;[1] 11 October 1942[4]) is an Indian film actor, film producer, television host, occasional playback singer and former politician. He first gained popularity in the early 1970s for films such as Zanjeer, Deewaar and Sholay, and was dubbed India's ""angry young man"" for his on-screen roles in Bollywood. Referred to as the Shahenshah of Bollywood, Sadi ka Mahanayak (Hindi for, ""Greatest actor of the century""), Star of the Millennium, or Big B,[5][6][7] he has since appeared in over 200 Indian films in a career spanning more than five decades.[8] Bachchan is widely regarded as one of the greatest and most influential actors in the history of Indian cinema as well as world cinema.[9][10][11][12][13] So total was his dominance on the Indian movie scene in the 1970s and 1980s that the French director François Truffaut called him a ""one-man industry"".[14] Beyond the Indian subcontinent, he also has a large overseas following in markets including Africa (especially South Africa and Mauritius), the Middle East (especially Egypt), the United Kingdom, Russia, the Caribbean (especially Guyana, Suriname, and Trinidad and Tobago), Oceania (especially Fiji, Australia, and New Zealand) and parts of the United States.[15][11][16][17][18]
",Amitabh Bachchan
46,12-11-1940,https://upload.wikimedia.org/wikipedia/en/2/27/AmjadKhan.jpg,"Amjad Khan (12 November 1940 – 27 July 1992) was an Indian actor and director.[1] He worked in over 130 films in a career spanning nearly twenty years. He enjoyed popularity for villainous roles in Hindi films, the most famous being the iconic Gabbar Singh in the 1975 classic Sholay[2] and of Dilawar in Muqaddar Ka Sikandar (1978).
",Amjad Khan
47,24-11-1944,https://upload.wikimedia.org/wikipedia/commons/3/3a/AmolPalekar.jpg,"Amol Palekar (born 24 November 1944) is an Indian actor, director and producer of Hindi and Marathi cinema.[3]
",Amol Palekar
48,22-06-1932,https://upload.wikimedia.org/wikipedia/commons/7/77/Amrish_Puri.jpg,"Amrish Lal Puri[1] (22 June 1932 – 12 January 2005[2]) was an Indian actor, who was an important figure in Indian theatre and cinema.
",Amrish Puri
49,04-09-1948,https://upload.wikimedia.org/wikipedia/commons/b/b8/Anantnag_actor.jpg,"Anant Nagarkatte (born 4 September 1948) known as Anant Nag, is an Indian actor, known primarily for his work in Kannada cinema, and in addition he appeared in Marathi, Tamil, Malayalam, Telugu and Hindi movies.[1] He acted in Malgudi Days, directed by his younger brother Shankar Nag, based on the stories by R. K. Narayan. He is fluent in Kannada, Konkani, Marathi, English,and Hindi. He won six Filmfare Awards South and five Karnataka State Film Awards.
",Ananth Nag
50,24-12-1956,https://upload.wikimedia.org/wikipedia/commons/a/a9/Anil_Kapoor_snapped_at_Race_3_interviews_at_Sun_N_Sand_hotel_in_Juhu.jpg,"Anil Kapoor (born 24 December 1956) is an Indian actor and producer who has appeared in over hundred Hindi-language films, as well as international films and television series.[1] His career has spanned 40 years as an actor, and as a producer since 2005. He has also won numerous awards in his career, including two National Film Awards and six Filmfare Awards in varied acting categories.
",Anil Kapoor
51,,https://upload.wikimedia.org/wikipedia/commons/a/a7/Aniruddha_Jatkar.jpg,"Aniruddha Jatkar (Anirudh) is an Indian film and theatre artist who predominantly works in Kannada Films.[2] He is the son-in-law[3] of Kannada actor Vishnuvardhan and Bharathi Vishnuvardhan.
",Aniruddha Jatkar
52,02-06-1948,https://upload.wikimedia.org/wikipedia/commons/5/53/Aanjjan_Srivastav.jpg,"Aanjjan Srivastav (born 2 June 1948) is an Indian film, television and stage actor, associated with Indian People's Theatre Association (IPTA) in Mumbai of which he remained Vice-President for several years. Outside theatre, he is best known as a character actor in Marathi and Hindi films, most notably, Mira Nair's Salaam Bombay!,  Mississippi Masala and Anupam Mittal's Flavors and Bollywood films like Gol Maal, Bemisal, Khuda Gawah, Kabhi Haan Kabhi Naa and Pukar. 
",Anjan Srivastav
53,31-01-1977,,"Ankush Chaudhari (born 31 January 1977) is a Marathi film actor, screenwriter, director, producer and theatre personality.[1]
",Ankush Chaudhari
54,,,"Ankush Hazra is an Indian actor associated with Bengali films. His debut film was Kellafate released in 2010. His other notable films include Ami Shudhu Cheyechi Tomay, Ki Kore Toke Bolbo, Jamai 420 and Haripada Bandwala.
",Ankush Hazra
55,20-02-1956,https://upload.wikimedia.org/wikipedia/commons/2/2e/Annu_Kapoor_cap.jpg,"Annu Kapoor (born as Anil Kapoor[1][2][3][4] on 20 February 1956)[5] is an Indian film actor and television presenter best-remembered for hosting the vocal reality show Antakshari from 1993 to 2006 and his roles in Mr. India, Vicky Donor (2012) and Jolly LLB 2 (2017). He received Filmfare award as well as National Film Award for Best Supporting Actor for Vicky Donor.
",Annu Kapoor
56,24-03-1926,,"Kalyan Kumar Ganguly (Bengali: কল্যাণ কুমার গাঙ্গুলী)
(born 24 March 1926 – 20 September 1997), better known by his stage name Anoop Kumar (Bengali: অনুপ কুমার Hindi: अनूप कुमार) was an Indian film actor who appeared in over seventy-five Bollywood films.
",Anoop Kumar
57,03-08-1976,,"Anoop Menon is an Indian film actor, director, screenwriter and lyricist. He worked in television before finding success as an actor in Malayalam films.
",Anoop Menon
58,24-12-1981,https://upload.wikimedia.org/wikipedia/commons/7/78/Anubhav_Mohanty.JPG,"Anubhav Mohanty (born 24 December 1981) is an Indian Actor, Film Producer,Television personality and Politician.[1] He made his debut with the movie I Love You in 2004. In 2012, after the huge success of Balunga Toka, he created his own production house named Vishnupriyaa Arts & Graphics. The movie Something Something was the biggest hit of 2012. It ran for 115 days in Odisha and Bengaluru simultaneously at the theaters. It is the only Odia movie till date that has run 115 days in Bengaluru. Anubhav made his debut in the Bengali film industry with the movie Saathi Amaar opposite Rachana Banerjee in a special appearance.[2][3] He has a significant following in Odisha, referred as the ""Bhaijaan"", ""Baadshah"" of Ollywood, ""Megastar"" of Ollywood.He is currently the highest paid actor of Ollywood.[4][5]
",Anubhav Mohanty
59,,https://upload.wikimedia.org/wikipedia/commons/9/92/Anuj_Gurwara_38.jpg,"Anuj Gurwara is a Filmfare Award-winning playback singer, master of ceremonies, actor, voice artist, radio jockey and television show host from India.
",Anuj Gurwara
60,07-03-1955,https://upload.wikimedia.org/wikipedia/commons/b/b9/AnupamKher2.jpg,"Anupam Kher (born 7 March 1955) is an Indian actor and the former Chairman of Film and Television Institute of India. He is the recipient of two National Film Awards and eight Filmfare Awards. He has appeared in over 500 films in several languages and many plays.[1] He won the Filmfare Award for Best Actor for his performance in Saaransh (1984). He holds the record for winning the Filmfare Award for Best Comedian five times in total for: Ram Lakhan (1989), Lamhe (1991), Khel (1992), Darr (1993) and Dilwale Dulhaniya Le Jayenge (1995). He won the National Film Award for Special Mention twice for his performances in Daddy (1989) and Maine Gandhi Ko Nahin Mara (2005). For his performance in the film Vijay (1988), he won the Filmfare Award for Best Supporting Actor. His biography Lessons Life Tought Me Unknowingly published on 5 August 2019 by Penguin Random House.
",Anupam Kher
61,10-09-1972,https://upload.wikimedia.org/wikipedia/commons/4/44/Anurag_kashyap_second_trailer.jpg,"Anurag Kashyap (born 10 September 1972) is an Indian film director, writer, editor, producer, actor known for his works in Hindi cinema. He is the recipient of several accolades, including four Filmfare Awards. For his contributions to film, the Government of France awarded him the Ordre des Arts et des Lettres (Knight of the Order of Arts and letters) in 2013.
",Anurag Kashyap
62,02-12-1972,https://upload.wikimedia.org/wikipedia/commons/c/cf/Apurva_Agnihotri.JPG,"Apurva Agnihotri (born 2 December 1972) is an Indian actor known for his role as Rajiv in the film Pardes (1997), and Armaan Suri in the television show Jassi Jaissi Koi Nahin.[1][2]
",Apurva Agnihotri
63,27-02-1976,,"Aravind Akash is an Indian actor and dancer who predominantly works in the South Indian film industry. He rose to fame through 2002 Malayalam film Nandanam portraying the role of Lord Krishna. He has also been a judge for a few TV shows in Malayalam and Tamil.
",Aravind Akash
64,04-08-1967,https://upload.wikimedia.org/wikipedia/commons/d/da/Arbaaz_Khan_at_his_birthday_bash_at_Su_Casa.jpg,"Arbaaz Khan  (born 4 August 1967) is an Indian actor, director and film producer, who predominantly works in Hindi language films. He has also acted in a few Urdu, Telugu and Malayalam language films as well as television series.[4][5] Since making his debut in 1996, he has acted in many leading and supporting roles. He ventured into film production in Bollywood, with Arbaaz Khan Productions, launched with Dabangg (2010), in which he starred as the younger brother of his real-life brother Salman Khan. The film went on to become one of the highest-grossing Bollywood films of all time. He also won the National Film Award for Best Popular Film Providing Wholesome Entertainment for the same.[6] He also hosted the reality show Power Couple, which aired on Sony TV. In 2019, Khan made his digital debut with crime-thriller web series Poison.
",Arbaaz Khan
65,11-11-1966,https://upload.wikimedia.org/wikipedia/commons/5/53/Arif_Zakaria2.jpg,"Arif Zakaria is an Indian actor. He has had many roles, beginning with his debut film Darmiyaan (1997), 1947 Earth (1998), Dance Like a man (2004) and other roles, even biographical projects such as Mardana in the controversial Nanak Shah Fakir.[1][2][3]
",Arif Zakaria
66,26-06-1985,https://upload.wikimedia.org/wikipedia/commons/3/36/Arjun_kapoor_12.jpg,"Arjun Kapoor is an Indian actor who appears in Bollywood films.[2] The son of film producers Boney Kapoor and Mona Shourie Kapoor, he initially worked an assistant director on his father's productions No Entry (2005) and Wanted (2009). He made his acting debut through the 2012 action romance Ishaqzaade and subsequently appeared in several successful films, including the crime drama Gunday (2014), the coming-of-age romantic comedy 2 States (2014), the English-language road comedy Finding Fanny (2014), and the satire Ki & Ka (2016).
",Arjun Kapoor
67,18-10-1981,https://upload.wikimedia.org/wikipedia/commons/a/ad/Arjun_mathur.jpg,"Arjun Mathur (born 18 October 1981) is an Indian film actor working predominantly in Bollywood and in independent films.[2] He was also seen in the British drama series, Indian Summers. He plays a lead character in a TV series, Made in Heaven.[3][4]
",Arjun Mathur
68,26-11-1972,https://upload.wikimedia.org/wikipedia/commons/8/89/Arjun_Rampal_12.jpg,"Arjun Rampal  (born 26 November 1972) is an Indian film actor, producer, screenwriter, model, entrepreneur, and television personality. He made his acting debut in Rajiv Rai's romance Pyaar Ishq Aur Mohabbat (2001). He has received several awards including the National Film Award for Best Supporting Actor and the Filmfare Award for Best Supporting Actor for his performance in Rock On!!.[1][2]
",Arjun Rampal
